x,y,z,class
0.02,-1.04,-0.296,sitting
0.012,-1.036,-0.3,sitting
0.016,-1.036,-0.288,sitting
0.028,-1.036,-0.292,sitting
0.032,-1.036,-0.272,sitting
0.028,-1.036,-0.284,sitting
0.024,-1.036,-0.296,sitting
0.032,-1.032,-0.296,sitting
0.016,-1.036,-0.292,sitting
0.02,-1.036,-0.288,sitting
0.024,-1.028,-0.296,sitting
0.024,-1.028,-0.288,sitting
0.028,-1.032,-0.272,sitting
0.02,-1.032,-0.288,sitting
0.036,-1.036,-0.292,sitting
0.024,-1.028,-0.296,sitting
0.028,-1.028,-0.284,sitting
0.028,-1.036,-0.296,sitting
0.02,-1.032,-0.284,sitting
0.028,-1.032,-0.296,sitting
0.028,-1.036,-0.284,sitting
0.02,-1.032,-0.292,sitting
0.024,-1.028,-0.292,sitting
0.016,-1.032,-0.292,sitting
0.024,-1.024,-0.292,sitting
0.028,-1.036,-0.276,sitting
0.024,-1.032,-0.284,sitting
0.016,-1.024,-0.296,sitting
0.02,-1.028,-0.276,sitting
0.02,-1.036,-0.272,sitting
0.024,-1.036,-0.288,sitting
0.024,-1.028,-0.28,sitting
0.036,-1.032,-0.28,sitting
0.028,-1.028,-0.28,sitting
0.032,-1.032,-0.276,sitting
0.024,-1.032,-0.284,sitting
0.028,-1.032,-0.272,sitting
0.02,-1.028,-0.284,sitting
0.02,-1.032,-0.288,sitting
0.024,-1.032,-0.276,sitting
0.028,-1.04,-0.276,sitting
0.036,-1.04,-0.268,sitting
0.024,-1.032,-0.276,sitting
0.028,-1.032,-0.272,sitting
0.024,-1.036,-0.272,sitting
0.028,-1.04,-0.264,sitting
0.024,-1.036,-0.28,sitting
0.024,-1.028,-0.272,sitting
0.032,-1.036,-0.276,sitting
0.028,-1.036,-0.264,sitting
0.024,-1.036,-0.276,sitting
0.024,-1.028,-0.268,sitting
0.032,-1.02,-0.284,sitting
0.036,-1.036,-0.272,sitting
0.028,-1.032,-0.276,sitting
0.024,-1.032,-0.248,sitting
0.024,-1.028,-0.264,sitting
0.024,-1.04,-0.26,sitting
0.024,-1.036,-0.26,sitting
0.024,-1.032,-0.276,sitting
0.032,-1.032,-0.268,sitting
0.04,-1.04,-0.268,sitting
0.028,-1.032,-0.264,sitting
0.028,-1.028,-0.276,sitting
0.036,-1.04,-0.268,sitting
0.024,-1.04,-0.264,sitting
0.032,-1.036,-0.264,sitting
0.032,-1.036,-0.272,sitting
0.028,-1.036,-0.256,sitting
0.02,-1.028,-0.272,sitting
0.024,-1.028,-0.276,sitting
0.028,-1.032,-0.268,sitting
0.036,-1.044,-0.26,sitting
0.036,-1.04,-0.26,sitting
0.024,-1.036,-0.268,sitting
0.032,-1.032,-0.264,sitting
0.024,-1.032,-0.268,sitting
0.028,-1.032,-0.264,sitting
0.036,-1.044,-0.26,sitting
0.028,-1.04,-0.26,sitting
0.028,-1.032,-0.26,sitting
0.028,-1.032,-0.28,sitting
0.024,-1.036,-0.268,sitting
0.032,-1.028,-0.256,sitting
0.036,-1.036,-0.276,sitting
0.024,-1.032,-0.26,sitting
0.036,-1.04,-0.264,sitting
0.036,-1.044,-0.26,sitting
0.032,-1.04,-0.268,sitting
0.024,-1.032,-0.268,sitting
0.028,-1.032,-0.272,sitting
0.028,-1.04,-0.272,sitting
0.032,-1.036,-0.264,sitting
0.032,-1.036,-0.256,sitting
0.028,-1.04,-0.256,sitting
0.032,-1.036,-0.268,sitting
0.028,-1.036,-0.252,sitting
0.032,-1.032,-0.252,sitting
0.024,-1.044,-0.252,sitting
0.028,-1.04,-0.248,sitting
0.028,-1.04,-0.256,sitting
0.028,-1.036,-0.252,sitting
0.028,-1.052,-0.272,sitting
0.02,-1.044,-0.276,sitting
0.02,-1.04,-0.256,sitting
0.032,-1.044,-0.264,sitting
0.02,-1.04,-0.256,sitting
0.028,-1.04,-0.252,sitting
