34.5,0.296,-1.028,-0.108
35,0.3,-1.024,-0.108
35.5,0.304,-1.028,-0.116
36,0.304,-1.032,-0.12
36.5,0.304,-1.024,-0.112
37,0.316,-1.032,-0.116
37.5,0.3,-1.032,-0.124
38,0.308,-1.024,-0.124
38.5,0.304,-1.024,-0.12
39,0.304,-1.024,-0.096
39.5,0.296,-1.024,-0.116
40,0.308,-1.024,-0.116
40.5,0.316,-1.024,-0.108
41,0.308,-1.024,-0.12
41.5,0.3,-1.028,-0.096
42,0.304,-1.028,-0.116
42.5,0.308,-1.024,-0.108
43,0.312,-1.032,-0.112
43.5,0.316,-1.028,-0.108
44,0.308,-1.028,-0.096
44.5,0.312,-1.024,-0.088
45,0.32,-1.028,-0.1
45.5,0.308,-1.028,-0.076
46,0.304,-1.024,-0.084
46.5,0.308,-1.024,-0.088
47,0.316,-1.024,-0.092
47.5,0.304,-1.024,-0.092
48,0.304,-1.028,-0.088
48.5,0.292,-1.032,-0.088
49,0.28,-1.028,-0.088
49.5,0.284,-1.032,-0.092
50,0.28,-1.028,-0.08
50.5,0.292,-1.028,-0.092
51,0.296,-1.032,-0.08
51.5,0.304,-1.032,-0.08
52,0.296,-1.024,-0.096
52.5,0.292,-1.024,-0.084
53,0.288,-1.024,-0.076
53.5,0.284,-1.024,-0.076
54,0.28,-1.024,-0.104
54.5,0.304,-1.028,-0.1
55,0.196,-1.028,-0.064
55.5,0.248,-1.04,-0.068
56,0.252,-1.032,-0.056
56.5,0.24,-1.052,-0.052
57,0.236,-1.04,-0.064
57.5,0.24,-1.048,-0.064
58,0.232,-1.044,-0.06
58.5,0.244,-1.044,-0.068
59,0.244,-1.044,-0.06
59.5,0.236,-1.044,-0.064
60,0.244,-1.044,-0.068
60.5,0.244,-1.032,-0.068
61,0.248,-1.044,-0.072
61.5,0.248,-1.036,-0.08
62,0.244,-1.04,-0.068
62.5,0.244,-1.036,-0.068
63,0.248,-1.036,-0.072
63.5,0.244,-1.04,-0.068
64,0.252,-1.04,-0.088
64.5,0.24,-1.032,-0.076
65,0.248,-1.04,-0.076
65.5,0.244,-1.04,-0.068
66,0.244,-1.04,-0.072
66.5,0.24,-1.044,-0.064
67,0.252,-1.04,-0.072
67.5,0.248,-1.044,-0.064
68,0.248,-1.04,-0.072
68.5,0.244,-1.04,-0.028
69,0.276,-1.036,-0.024
69.5,0.26,-1.04,0
70,0.252,-1.04,-0.012
70.5,0.216,-1.04,-0.048
71,0.236,-1.036,-0.036
71.5,0.224,-1.044,-0.004
72,0.236,-1.048,0.052
72.5,0.232,-1.036,0.044
73,0.212,-1.04,-0.016
73.5,0.212,-1.044,-0.052
74,0.224,-1.04,-0.04
74.5,0.224,-1.044,-0.044
75,0.232,-1.048,-0.032
75.5,0.224,-1.044,-0.028
76,0.232,-1.044,-0.048
76.5,0.232,-1.044,-0.036
77,0.232,-1.048,-0.048
77.5,0.232,-1.048,-0.044
78,0.22,-1.036,-0.04
78.5,0.236,-1.04,-0.056
79,0.236,-1.048,-0.044
79.5,0.232,-1.048,-0.036
80,0.232,-1.036,-0.044
80.5,0.228,-1.044,-0.044
81,0.232,-1.04,-0.048
81.5,0.24,-1.04,-0.048
82,0.24,-1.052,-0.044
82.5,0.24,-1.036,-0.056
83,0.228,-1.036,-0.06
83.5,0.236,-1.06,-0.028
84,0.232,-1.048,-0.032
84.5,0.228,-1.04,-0.048
85,0.244,-1.044,-0.044
85.5,0.24,-1.036,-0.048
86,0.244,-1.044,-0.056
86.5,0.232,-1.036,-0.056
87,0.24,-1.052,-0.048
87.5,0.216,-1.032,-0.044
88,0.232,-1.04,-0.044
88.5,0.236,-1.04,-0.044
89,0.236,-1.036,-0.044
89.5,0.244,-1.048,-0.06
90,0.236,-1.036,-0.06
90.5,0.244,-1.044,-0.048
91,0.232,-1.04,-0.036
91.5,0.228,-1.044,-0.056
92,0.236,-1.044,-0.064
92.5,0.236,-1.044,-0.044
93,0.24,-1.044,-0.044
93.5,0.244,-1.04,-0.056
94,0.244,-1.048,-0.052
94.5,0.248,-1.04,-0.06
95,0.236,-1.044,-0.048
95.5,0.232,-1.04,-0.056
96,0.236,-1.04,-0.052
96.5,0.236,-1.04,-0.064
97,0.252,-1.04,-0.064
97.5,0.236,-1.036,-0.06
98,0.24,-1.04,-0.052
98.5,0.24,-1.044,-0.06
99,0.228,-1.052,-0.048
99.5,0.232,-1.036,-0.048
100,0.236,-1.04,-0.06
100.5,0.244,-1.044,-0.056
101,0.24,-1.04,-0.06
101.5,0.244,-1.044,-0.064
102,0.228,-1.04,-0.048
