x,y,z,class
0.1,-0.768,-0.228,walking
-0.048,-0.876,0,walking
-0.004,-0.72,-0.244,walking
0.02,-0.836,-0.008,walking
0.076,-0.724,-0.216,walking
0.008,-0.848,0.012,walking
0.08,-0.668,-0.24,walking
-0.04,-0.908,0.072,walking
0.024,-0.764,-0.24,walking
-0.16,-0.832,0.008,walking
0.112,-0.644,-0.228,walking
-0.012,-0.828,-0.02,walking
0.056,-0.74,-0.26,walking
-0.052,-0.788,0,walking
-0.012,-0.668,-0.236,walking
0.024,-0.836,0,walking
0.084,-0.772,-0.264,walking
0.004,-0.804,-0.032,walking
0.012,-0.796,-0.108,walking
-0.136,-0.724,0.048,walking
-0.16,-0.992,-0.112,walking
-0.18,-0.9,0.064,walking
0.012,-1.68,0.088,walking
-0.008,-1.252,0.136,walking
-0.148,-1.276,-0.28,walking
-0.06,-1.072,-0.02,walking
-0.564,-1.116,-0.108,walking
-0.088,-1.04,-0.1,walking
-0.944,-1.1,-0.012,walking
0.024,-1.168,-0.044,walking
-0.516,-1.172,-0.14,walking
-0.04,-0.972,-0.16,walking
0.076,-1.412,-0.2,walking
0.048,-1.424,0.192,walking
-0.08,-1.336,-0.304,walking
-0.172,-1.332,0.132,walking
-0.152,-1.24,-0.276,walking
-0.008,-1.164,0.084,walking
-0.032,-1.204,-0.228,walking
0.012,-1.416,0.116,walking
-0.032,-1.416,-0.148,walking
-0.08,-1.372,0.196,walking
-0.388,-1.268,-0.188,walking
0.016,-1.216,-0.016,walking
-0.04,-1.196,-0.16,walking
-0.144,-1.264,0.108,walking
-0.188,-1.308,-0.256,walking
-0.04,-1.32,0,walking
-0.828,-0.66,-0.056,walking
-0.18,-0.728,-0.188,walking
-1.084,-1.224,0.076,walking
-0.272,-0.828,-0.248,walking
-1.224,-0.94,0.028,walking
-0.124,-0.628,-0.212,walking
-1.084,-0.92,0.016,walking
-0.216,-0.5,-0.22,walking
-1.084,-1.068,0.08,walking
-0.228,-0.548,-0.296,walking
-0.908,-0.664,-0.112,walking
-0.032,-0.444,-0.372,walking
-0.6,-1.076,0.032,walking
-0.396,-0.532,-0.136,walking
-0.36,-1.084,-0.048,walking
-0.492,-1.788,0.344,walking
-0.852,-0.808,0.088,walking
-0.212,-0.344,-0.328,walking
-0.676,-1.108,0.012,walking
-0.932,-1.084,0.1,walking
-0.268,-1.164,-0.172,walking
0.064,-2.048,0.832,walking
-0.368,-1.292,0.004,walking
-0.164,-1.56,-0.432,walking
-0.288,-1.388,-0.148,walking
0.532,-1.172,-0.56,walking
-0.18,-1.352,-0.056,walking
0.556,-1.304,-0.496,walking
-0.02,-1.412,-0.016,walking
0.488,-1.248,-0.36,walking
-0.128,-1.22,-0.008,walking
-0.04,-1.672,-0.148,walking
-0.192,-1.212,0.012,walking
-0.424,-1,-0.02,walking
-0.172,-1.008,0.084,walking
-0.068,-0.756,-0.208,walking
-0.116,-0.812,-0.072,walking
-0.004,-0.716,-0.24,walking
-0.048,-0.876,0.016,walking
-0.048,-0.72,-0.192,walking
-0.004,-0.868,0.072,walking
-0.188,-0.624,-0.148,walking
0.02,-0.868,0.068,walking
-0.188,-0.58,-0.14,walking
-0.168,-0.88,0.104,walking
-0.172,-0.684,-0.104,walking
-0.356,-0.76,0.08,walking
0.04,-1.184,-0.052,walking
-0.432,-0.872,-0.032,walking
0.256,-1.708,-0.016,walking
-0.264,-0.868,0,walking
0.272,-1.784,0.032,walking
-0.132,-1.204,0.012,walking
0.112,-1.62,-0.024,walking
-0.164,-1.416,0.092,walking
0.052,-1.464,-0.092,walking
-0.048,-1.46,0.096,walking
-0.048,-1.332,-0.232,walking
-0.036,-1.464,0.196,walking
-0.612,-1.024,-0.076,walking
0.004,-1.248,-0.1,walking
-1.26,-1.092,0.032,walking
0.028,-0.9,-0.152,walking
-1.108,-1.072,0,walking
0.112,-1.084,-0.184,walking
-1.1,-0.896,-0.02,walking
-0.024,-0.888,-0.204,walking
-0.9,-0.98,-0.02,walking
-0.28,-0.684,-0.216,walking
-1.212,-0.8,-0.084,walking
-0.264,-0.268,-0.344,walking
-1.088,-1.044,0.248,walking
-0.168,-0.236,-0.532,walking
-0.564,-1.012,0.092,walking
-0.784,-0.852,0,walking
-0.148,-1.14,-0.092,walking
-0.468,-2.048,0.752,walking
-0.376,-0.972,-0.18,walking
-1.064,-1.684,0.212,walking
-0.084,-1.128,-0.312,walking
-0.176,-2.048,0.776,walking
-0.184,-1.488,0.012,walking
-1.196,-2.048,0.56,walking
-0.368,-1.376,-0.168,walking
-0.396,-1.956,0.564,walking
-0.272,-1.26,-0.064,walking
-0.78,-2.048,0.348,walking
-0.348,-1.232,-0.076,walking
-1.008,-0.86,0.256,walking
-0.348,-1.224,-0.036,walking
-0.58,-1.812,0.452,walking
-0.176,-1.332,-0.1,walking
-0.408,-2.048,0.688,walking
-0.104,-1.272,0.124,walking
0.22,-0.952,-0.02,walking
0.028,-1.204,0.2,walking
0.008,-1.148,-0.26,walking
0.032,-1.016,0,walking
-0.096,-0.892,-0.26,walking
0.056,-1.028,0.024,walking
-0.028,-0.808,-0.292,walking
-0.044,-1.024,-0.008,walking
0.004,-0.872,-0.348,walking
0,-0.976,0.048,walking
0.008,-0.792,-0.188,walking
0.02,-0.968,0.052,walking
0.024,-0.708,-0.224,walking
0.072,-0.992,0.092,walking
0.04,-0.772,-0.18,walking
0.02,-0.944,-0.016,walking
0.008,-0.672,-0.18,walking
-0.036,-0.9,-0.052,walking
0.012,-0.624,-0.216,walking
-0.08,-0.864,-0.028,walking
0.02,-0.76,-0.232,walking
-0.184,-0.816,0.02,walking
-0.088,-0.684,-0.232,walking
-0.012,-0.904,0.084,walking
-0.168,-0.64,-0.144,walking
-0.152,-0.788,0.152,walking
-0.28,-0.66,-0.088,walking
-0.164,-0.864,0.148,walking
0.132,-1.332,-0.092,walking
-0.084,-0.852,0.096,walking
-0.356,-0.972,0.104,walking
-0.052,-1.424,0.2,walking
-0.448,-1.296,-0.176,walking
-0.208,-1.204,0.032,walking
-0.12,-1.352,-0.172,walking
0.156,-1.564,0.188,walking
0.172,-1.644,0,walking
-0.124,-1.236,0.044,walking
0.244,-1.656,-0.012,walking
-0.256,-0.964,0.012,walking
0.288,-1.576,-0.048,walking
-0.268,-0.944,0.056,walking
0.28,-1.412,-0.128,walking
-0.44,-0.684,0.04,walking
0.048,-1.024,-0.048,walking
-0.396,-0.728,0.044,walking
0.016,-0.992,-0.064,walking
-0.396,-0.712,0.044,walking
-0.088,-0.912,-0.04,walking
-0.388,-0.656,0.04,walking
0,-0.964,-0.076,walking
-0.344,-0.628,0.036,walking
-0.128,-0.736,-0.156,walking
0.144,-0.808,0.072,walking
-0.004,-0.672,-0.128,walking
0.108,-0.916,0.04,walking
-0.104,-0.576,-0.172,walking
0.012,-0.876,0.004,walking
0.056,-0.66,-0.224,walking
0.02,-0.896,0.036,walking
0.016,-0.696,-0.244,walking
-0.116,-0.828,-0.036,walking
0.008,-0.92,-0.048,walking
0,-1.024,0.144,walking
-0.024,-0.784,-0.168,walking
-0.14,-0.932,-0.012,walking
0.016,-0.736,-0.256,walking
-0.008,-0.804,0.008,walking
